chi2,p_value,dataset,model_a,model_b
0.0,1.0,EKS-Dec,LogisticRegression,RandomForest
0.0,1.0,EKS-Dec,LogisticRegression,GradientBoosting
0.0,1.0,EKS-Dec,LogisticRegression,XGBoost
0.0,1.0,EKS-Dec,LogisticRegression,LightGBM
0.0,1.0,EKS-Dec,RandomForest,GradientBoosting
0.0,1.0,EKS-Dec,RandomForest,XGBoost
0.0,1.0,EKS-Dec,RandomForest,LightGBM
0.0,1.0,EKS-Dec,GradientBoosting,XGBoost
0.0,1.0,EKS-Dec,GradientBoosting,LightGBM
0.0,1.0,EKS-Dec,XGBoost,LightGBM
0.0,1.0,Alibaba,LogisticRegression,RandomForest
3.0,0.0832645166635505,Alibaba,LogisticRegression,GradientBoosting
3.0,0.0832645166635505,Alibaba,LogisticRegression,XGBoost
0.0,1.0,Alibaba,LogisticRegression,LightGBM
3.0,0.0832645166635505,Alibaba,RandomForest,GradientBoosting
3.0,0.0832645166635505,Alibaba,RandomForest,XGBoost
0.0,1.0,Alibaba,RandomForest,LightGBM
0.0,1.0,Alibaba,GradientBoosting,XGBoost
3.0,0.0832645166635505,Alibaba,GradientBoosting,LightGBM
3.0,0.0832645166635505,Alibaba,XGBoost,LightGBM
0.0,1.0,Borg,LogisticRegression,RandomForest
0.0,1.0,Borg,LogisticRegression,GradientBoosting
0.0,1.0,Borg,LogisticRegression,XGBoost
0.0,1.0,Borg,LogisticRegression,LightGBM
0.0,1.0,Borg,RandomForest,GradientBoosting
0.0,1.0,Borg,RandomForest,XGBoost
0.0,1.0,Borg,RandomForest,LightGBM
0.0,1.0,Borg,GradientBoosting,XGBoost
0.0,1.0,Borg,GradientBoosting,LightGBM
0.0,1.0,Borg,XGBoost,LightGBM
